record_name,file_was_loaded,loaded_file_type,loaded_file_name,only_has_pdf,num_pdf_files,num_cpt_files,num_ags_files,num_xls_files,num_xlsx_files,num_csv_files,num_txt_files,num_other_files
CPT_3866,True,.xls,CPT_3866,False,2,0,0,1,0,1,0,0
CPT_9035,True,.xls,CPT_9035,False,1,0,1,1,0,0,0,0
CPT_9037,True,.xlsx,CPT_9037,False,1,0,1,0,1,0,0,0
CPT_12402,True,.xls,CPT_12402,False,0,0,0,1,0,0,0,0
CPT_15824,True,.xls,CPT_15824,False,1,0,0,1,0,0,0,0
CPT_18878,True,.xlsx,CPT_18878,False,1,0,0,0,1,0,0,0
CPT_18880,True,.xlsx,CPT_18880,False,1,0,0,0,1,0,0,0
CPT_19642,True,.xls,CPT_19642,False,1,0,0,1,0,0,0,0
CPT_23319,True,.xlsx,CPT_23319,False,1,0,0,0,1,0,0,0
CPT_23320,True,.xlsx,CPT_23320,False,1,0,0,0,1,0,0,0
CPT_23321,True,.xlsx,CPT_23321,False,1,0,0,0,1,0,0,0
CPT_23421,True,.xlsx,CPT_23421,False,1,0,0,0,1,0,0,0
CPT_23645,True,.xlsx,CPT_23645,False,1,0,0,0,1,0,0,0
CPT_23650,True,.xlsx,CPT_23650,False,1,0,0,0,1,0,0,0
CPT_23652,True,.xlsx,CPT_23652,False,1,0,0,0,1,0,0,0
CPT_23654,True,.xlsx,CPT_23654,False,1,0,0,0,1,0,0,0
CPT_23730,True,.xlsx,CPT_23730,False,1,0,0,0,1,0,0,0
CPT_23731,True,.xlsx,CPT_23731,False,1,0,0,0,1,0,0,0
CPT_23732,True,.xlsx,CPT_23732,False,1,0,0,0,1,0,0,0
CPT_24230,True,.xls,CPT_24230,False,1,0,0,1,0,0,0,0
CPT_24320,True,.xls,CPT_24320,False,1,0,0,1,0,0,0,0
CPT_24449,True,.xls,CPT_24449,False,1,0,0,1,0,0,0,0
CPT_24547,True,.xls,CPT_24547,False,1,0,0,1,0,0,0,0
CPT_25174,True,.xls,CPT_25174,False,1,0,0,1,0,0,0,0
CPT_33553,True,.xls,CPT_33553,False,2,0,0,1,0,0,0,0
CPT_33557,True,.xls,CPT_33557,False,2,0,0,1,0,0,0,0
CPT_35520,True,.xls,CPT_35520,False,1,0,0,1,0,0,0,0
CPT_35546,True,.xls,CPT_35546,False,4,0,0,1,0,0,0,0
CPT_35596,True,.xlsx,CPT_35596,False,1,0,1,0,1,0,0,0
CPT_35598,True,.xlsx,CPT_35598,False,1,0,1,0,1,0,0,0
CPT_35601,True,.xls,CPT_35601,False,1,0,1,1,0,0,0,0
CPT_35604,True,.xls,CPT_35604,False,1,0,1,1,0,0,0,0
CPT_36163,True,.xlsx,CPT_36163,False,1,0,1,0,1,0,0,0
CPT_36168,True,.xls,CPT_36168,False,1,0,1,1,0,0,0,0
CPT_36170,True,.xls,CPT_36170,False,1,0,1,1,0,0,0,0
CPT_36172,True,.xls,CPT_36172,False,1,0,1,1,0,0,0,0
CPT_36209,True,.xlsx,CPT_36209,False,1,0,0,0,1,0,0,0
CPT_36210,True,.xlsx,CPT_36210,False,1,0,0,0,1,0,0,0
CPT_36224,True,.xlsx,CPT_36224,False,1,0,0,0,1,0,0,0
CPT_36237,True,.xlsx,CPT_36237,False,2,0,0,0,1,0,0,0
CPT_36243,True,.xlsx,CPT_36243,False,1,0,0,0,1,0,0,0
CPT_36245,True,.xlsx,CPT_36245,False,1,0,0,0,1,0,0,0
CPT_36246,True,.xlsx,CPT_36246,False,1,0,0,0,1,0,0,0
CPT_36260,True,.xlsx,CPT_36260,False,1,0,0,0,1,0,0,0
CPT_36263,True,.xlsx,CPT_36263,False,1,0,0,0,1,0,0,0
CPT_36270,True,.xlsx,CPT_36270,False,1,0,0,0,1,0,0,0
CPT_36272,True,.xlsx,CPT_36272,False,1,0,0,0,1,0,0,0
CPT_36274,True,.xlsx,CPT_36274,False,1,0,0,0,1,0,0,0
CPT_36275,True,.xlsx,CPT_36275,False,1,0,0,0,1,0,0,0
CPT_36278,True,.xlsx,CPT_36278,False,1,0,0,0,1,0,0,0
CPT_36283,True,.xlsx,CPT_36283,False,1,0,0,0,1,0,0,0
CPT_36286,True,.xlsx,CPT_36286,False,1,0,0,0,1,0,0,0
CPT_36287,True,.xlsx,CPT_36287,False,1,0,0,0,1,0,0,0
CPT_36294,True,.xlsx,CPT_36294,False,1,0,0,0,1,0,0,0
CPT_36295,True,.xlsx,CPT_36295,False,1,0,0,0,1,0,0,0
CPT_36572,True,.xls,CPT_36572,False,1,0,0,1,0,0,0,0
CPT_36573,True,.xls,CPT_36573,False,1,0,0,1,0,0,0,0
CPT_36574,True,.xls,CPT_36574,False,1,0,0,1,0,0,0,0
CPT_36575,True,.xls,CPT_36575,False,1,0,0,1,0,0,0,0
CPT_36576,True,.xls,CPT_36576,False,1,0,0,1,0,0,0,0
